,source_id,x,y,z,phot_g_mean_mag,bp_rp,new_mass,parallax
0,5350316459455740416,139.5149608202432,-429.792882289604,-5.071820735765954,6.4465733,-0.1773705000000003,5.6201868468311895,2.226400303021708
1,5350582163304165760,123.59723429846888,-412.1810461054126,-4.807461145872367,6.4693713,-0.1511250000000004,5.584777593718438,2.3370364694201786
2,5350632706482365184,125.07625104209168,-424.63260100051593,-5.3232810848597865,7.5274286,-0.1600606999999998,4.165010836108183,2.271291744072496
3,5350637138888956032,132.012354157801,-444.9996673262663,-4.205058678460887,7.8844485,-0.0796985000000001,3.7725157226445094,2.166559806529387
4,5350588691654545792,126.03088508520186,-421.3647707095849,-4.353345911014657,8.017919,-0.0740850000000001,3.635475771523883,2.2857543222878265
5,5350629236148900480,126.00875574179535,-425.5000440708624,-5.077207081106621,8.506429,-0.0822510000000011,3.175007921375858,2.265018079154831
6,5350641708734155776,122.33511842282576,-416.7949916716185,-3.698185673394335,8.795532,0.0118760000000008,2.9304674924125527,2.313619777685308
7,5350612361197763200,130.24013827146626,-434.7351637205954,-2.614038893109779,9.001647,0.0890040000000009,2.7677109419038137,2.214959846326868
8,5254502817199209856,125.89795003633114,-420.3766762416414,-6.223646092301806,9.209081,0.0041949999999992,2.6130381240323177,2.289747764080644
9,5255256463708243712,116.00862405338354,-418.1006119259421,-9.767720545862744,9.356853,0.0216744999999995,2.5081531216433715,2.3148536365265
10,5254572739270229248,120.02751677099306,-414.3607186738059,-5.613671210512848,9.36042,0.0313160000000003,2.5056740823163848,2.328878405282796
11,5350630851056722816,126.3716653069491,-426.4284204742224,-4.615741335325907,9.42652,-0.0020740000000003,2.4601759170840736,2.259345187593634
12,5350784400411338112,126.8362142072204,-436.5241355373467,3.0174653492831567,9.448619,0.0107230000000004,2.4451496853054926,2.211173220324705
13,5350619168744060288,127.83074913572403,-431.834606930447,-1.468837905766435,9.495802,0.0436289999999992,2.4133740191113606,2.231605653474852
14,5350655280830851840,126.0415313679754,-432.7027815732655,-3.2028454004014577,9.704404,0.0378349999999994,2.2777655577573563,2.2296720897021087
15,5254500996132978176,128.89758381208736,-429.8510696233269,-7.117033171946076,9.811524,0.0410109999999992,2.2111174361744617,2.2387549311121933
16,5350631263373630336,128.77221826082362,-434.6930236887389,-4.485363232149865,10.014358,0.1063550000000006,2.0902135712298535,2.216244728253636
17,5350583846931421696,125.46983281130012,-420.6263399508999,-4.378780541047917,10.06091,0.1503410000000009,2.063411363162704,2.288829187803465
18,5350583778211917952,128.91713748187527,-432.88475437556144,-4.612156283828369,10.270535,0.1453330000000008,1.946915208203887,2.224460833315416
19,5254455813083105152,128.0366438295787,-422.1997743613232,-10.618060466038884,10.4034,0.2228840000000005,1.8765067708998968,2.276523054845589
20,5254459931913633152,124.76823277598808,-415.3944926107982,-10.542892368169078,10.404794,0.2213019999999996,1.875781717540024,2.3154753295047503
21,5255314600372542208,121.7435974485318,-423.448839314664,-7.242561067226575,10.578854,0.2554630000000006,1.7874155529113172,2.2800066923925075
22,5350643186202947968,124.59791346678104,-425.64034216310944,-3.2507780758816978,10.607701,0.308313,1.7731781185284912,2.2658498797636595
23,5350638753800448512,127.82356329636124,-433.2098219597013,-3.655705536969066,10.627131,0.259746999999999,1.7636524167275416,2.231035536323176
24,5254290096060100736,131.44579324493145,-423.8781943214284,-8.259144138790703,10.63442,0.3314425000000014,1.7600921445447562,2.263983283909136
25,5351403292337298304,123.07921524590138,-430.5248450476976,-4.174356410775289,10.679179,0.2852439999999987,1.7383868813088177,2.24406832863413
26,5254500583816102656,128.1016258101794,-427.2566144768382,-7.181436697740168,10.749158,0.3359719999999999,1.704986668781791,2.2527209233488787
27,5350641743094035456,123.46857544546728,-421.1531894677071,-3.7909097117091335,10.793421,0.3768290000000007,1.6841925314192994,2.289856002989789
28,5350618275390883200,127.42327199165348,-428.8686994592489,-1.4354843512689683,10.810051,0.3422809999999998,1.6764456978921274,2.247042376719184
29,5254546935110368128,127.82981207981906,-432.7102863296863,-7.403801424183939,10.819763,0.3219340000000006,1.671938001985017,2.2331059011052505
30,5338304672910263936,141.0579190717699,-429.6063278652201,-4.656175607986711,10.855632,0.3261800000000008,1.655394673417792,2.225859734628978
31,5254556761992008960,124.80914217855404,-425.0670186338385,-5.61819407178686,10.872923,0.402749,1.647478375307499,2.272316656854654
32,5254488003818122496,128.71503938483022,-424.697850916552,-9.066962523048376,10.884161,0.3656709999999989,1.6423536171412771,2.2686334176837444
33,5350562509540150912,127.73380734204326,-419.0544333834181,-6.260771312620761,10.9064245,0.3591099999999994,1.6322480307928762,2.3002657370643003
34,5254544388146763264,128.3326254459364,-433.93436192289073,-8.53176186531141,11.019636,0.4038889999999995,1.5818144057460952,2.232152083798561
35,5350588726014294272,128.67250563132822,-430.2039530377924,-4.382108734082237,11.022856,0.416132000000001,1.5804029783440987,2.249818934560547
36,5350589688087046016,128.2417832995165,-430.0293402628816,-3.678201252093743,11.025732,0.4523679999999999,1.5791434017737005,2.251144135695516
37,5350678709852531840,124.34175479748296,-428.3476609289036,-0.1399969747903924,11.056804,0.4576740000000008,1.565598914562821,2.266477508196592
38,5350379578297617408,130.51356869388547,-423.782415512535,-4.656846223599132,11.110117,0.4489959999999993,1.5426295422116625,2.282037761805474
39,5350637173237154048,127.5595481306552,-429.76606432432806,-3.965463947035033,11.131796,0.4469910000000006,1.5333860209055592,2.2584361822347727
40,5254539891359606912,122.72740760234976,-411.3115448921928,-8.194766047268729,11.158845,0.5167559999999991,1.5219304599240415,2.357599679505467
41,5350305597453513472,136.54998787073666,-423.2418132305294,-5.378170862290574,11.211684,0.4949309999999993,1.4997988320864206,2.2792756901667315
42,5350372294032416512,133.86697259835853,-434.1102008227582,-6.089891374983552,11.420641,0.6247369999999997,1.1957151293754578,2.232324640066488
43,5350632259806068864,126.6951413511213,-429.0876598714951,-4.221502341865062,11.430488,0.5418585,1.4115266503356108,2.2681476065247383
44,5350695481725688704,124.134875753662,-434.27442334960654,-0.0917979916920899,11.489039,0.6989419999999988,1.2019022703170776,2.2443428613719405
45,5350637070169457664,128.1130472239567,-432.29302579657184,-4.237374112161064,11.494692,0.5880029999999987,1.3866247318672038,2.250640057035276
46,5350578521171925376,129.65640856474664,-430.3945655625169,-5.013892598202119,11.552364,0.5985839999999989,1.364631061526749,2.25805762912377
47,5255586729487449216,114.6898099285148,-436.9035924088371,-7.178290266267908,11.553918,0.6012065,1.364043283027889,2.2469258253265285
48,5350670639635105024,127.77129708883928,-436.9033198662888,-1.2184364503225993,11.606297,0.612722999999999,1.3443790533390385,2.230950913742064
49,5351430054251413760,122.5921229496005,-439.3880381466985,-2.653946648666505,11.653486,0.6407710000000009,1.1488017439842224,2.2262961683545672
50,5350585152601550208,130.8198291529245,-434.5058718513994,-4.222514174040697,11.687898,0.602392,1.3143075536058302,2.2389366805037736
51,5350638547638241152,130.77615925439787,-443.7801438283948,-3.90682803561964,11.758395,0.6254609999999996,1.2888702180059386,2.19684218682735
52,5254515530303517824,132.45329021947765,-442.4272335701437,-9.776014993585136,11.794738,0.6505349999999996,1.2759495510350634,2.199727142067628
53,5350690254727196928,124.40067536907544,-430.1769368581224,-0.424752101721765,11.8714695,0.6487770000000008,1.2490938105097509,2.267212725586698
54,5350595456206519040,136.3376602176062,-445.53764311565226,-2.663073791582292,11.873419,0.661090999999999,1.2484189066415663,2.179784223531105
55,5350509870421822464,130.44581210040258,-424.39329624466905,-0.6377782125169063,11.875929,0.6473510000000005,1.2475504983897587,2.28621831300052
56,5254495528598803584,135.6389024252576,-453.8929236463123,-8.060005501909728,11.932354,0.6411809999999996,1.2328918775826687,2.1433256508224923
57,5350642907005169280,126.87561093803984,-434.2340623191943,-3.690722187475046,11.966692,0.6891479999999994,1.2240556587400364,2.2409249288630684
58,5254496593752702592,129.71566965843903,-428.9997990580274,-7.278085147284088,12.126575,0.8215979999999998,1.1009550094604492,2.253438957153881
59,5254532946354938112,126.72528132939532,-433.5298265994867,-9.264439378490351,12.127157,0.7145489999999999,1.1835952370468463,2.239657429159315
60,5351508428814575744,120.515086620881,-438.747498106197,-0.3954085716133306,12.164942,0.6970270000000003,1.1742641440733574,2.22375664007792
61,5254503057717419648,128.32253680269469,-427.9323109657059,-6.10641094634974,12.194788,0.7131759999999989,1.1669456368415831,2.2632180774664383
62,5350593875658556160,133.49110619420657,-436.2468261275434,-3.2158102655707808,12.195541,0.6973610000000008,1.166761585578581,2.2171895594406035
63,5350618374151972224,126.92214588622932,-427.9059967796573,-2.035671779893704,12.221864,0.7213539999999998,1.160345824700563,2.2644794407547413
64,5338295258341106048,139.8611453605265,-419.15010367988,-4.040328684683601,12.227042,0.7367879999999989,1.15908793826285,2.286811108387507
65,5350391737319208448,136.74013112930544,-433.2792310986578,-2.5290761101488783,12.293176,0.7182310000000012,1.143141492376707,2.2249028538013818
66,5350406030970030464,132.5790860437363,-431.9493772355929,-3.1367713315504204,12.295219,0.8186490000000006,1.073554754257202,2.234051811149287
67,5350573603413160064,130.21163439173762,-429.1231534533746,-4.034028880391446,12.316742,0.724437,1.1375123553319533,2.253326115597634
68,5255599408233315840,116.67955044274356,-440.1854475197487,-4.943748647846348,12.445091,0.7571589999999997,1.1073370962650169,2.2174949191667324
69,5350398682313767936,131.53516123763578,-422.1132129193536,-1.9307149016039773,12.529695,0.7922049999999992,1.0878854865051817,2.282275344543791
70,5350588863453276672,126.52768091708884,-422.93924438911006,-4.11070323637847,12.565468,0.7919839999999994,1.0797639195717377,2.285329118619477
71,5254557139949145728,125.82111446156776,-429.3723459567216,-5.572005667066065,12.614541,0.8603850000000008,1.0322311520576477,2.253086578910905
72,5350582300743079552,129.57461003786412,-433.1090980103087,-5.204143734551366,12.622376,0.7811560000000011,1.0669688215739457,2.232063945714667
73,5350410536423524736,127.837721214637,-411.03525133171865,-1.7281714494744165,12.704318,0.8165469999999999,1.0488109966714525,2.3421325058086464
74,5350583361578934400,126.80692857195947,-425.3496255535101,-4.736606137929584,12.7366085,0.8112309999999994,1.0417407998678962,2.271824106502004
75,5254484950134199424,130.2505924314342,-426.6998369836018,-6.847999739671991,12.780962,0.8221814999999992,1.0321069671232168,2.259777373245932
76,5350596624438139392,130.28432894180608,-427.9302614186417,-2.618817050797361,12.784692,0.8081465000000012,1.0313008626329332,2.25437927317152
77,5255331952039937280,123.96401187491914,-438.6998190426251,-7.130589152391167,12.823359,0.8158060000000003,1.0229813923411508,2.211648804444024
78,5350596903634100224,128.25364640136428,-420.9252959414016,-2.261361647096436,12.857942,0.9812570000000012,0.9966516494750975,2.2877741978135626
