,source_id,x,y,z,phot_g_mean_mag,bp_rp,new_mass,parallax
0,5516167755443050368,-39.51527484240064,-338.0403977713572,-47.7038850038952,5.18087,-0.2891969999999997,10.06011918519997,2.909775984785292
1,5514646168789413504,-39.77566189795718,-351.5553829777533,-54.15495551141167,6.303974,-0.2688586000000006,5.913230862176316,2.804364807415166
2,5519219999721187968,-42.57832820029133,-337.989934370661,-45.98130834160565,7.6415644,-0.1723781000000004,3.4980032465367055,2.919260871754018
3,5519185979275428608,-41.7298253747133,-339.5908238152887,-48.29933799737739,8.848657,-0.0161519999999999,2.3771273225760874,2.9033622779884327
4,5519219931001716736,-41.6227219348913,-330.8056098522892,-44.97965714932478,9.164528,0.2163019999999988,1.6714680790901184,2.981715407576468
5,5519189385193535232,-41.08222568696192,-335.6663978433174,-46.95039712563677,9.183802,0.0392240000000008,2.1632596917635594,2.938150010277452
6,5519259032385114240,-46.99989228761538,-361.95200043144735,-50.28735152000999,9.292859,0.03505,2.100259924628483,2.7233408806111057
7,5519271328865456768,-42.11479688588648,-328.08965736844925,-44.51644976998576,9.353583,0.0776949999999985,2.0664608223957446,3.0053228792595426
8,5519196463299540224,-41.67625515233965,-331.41439995815006,-45.34730857773192,9.523474,0.6836179999999992,1.4789384007453918,2.9767772137713284
9,5519168700631185408,-40.7358815882791,-341.93547734098746,-48.503413296489256,9.584143,0.1570959999999992,1.945898212100427,2.884537627116316
10,5519516318106282496,-50.78224518906214,-360.1160604471263,-50.398300756880815,9.707562,0.0916110000000003,1.886059544637242,2.732679285891215
11,5519406190849066880,-49.33887436496983,-359.0656996915681,-42.543248599331534,9.758509,0.1428100000000007,1.862248135896119,2.7496497373766777
12,5519203575766469376,-39.91998033873375,-328.05031765896354,-43.864137983775365,9.933553,0.204467000000001,1.784167955572219,3.0087648929126183
13,5519188148242974592,-40.526610095224,-332.8378009367753,-46.74352334651629,9.996144,0.2370295000000002,1.757583929224158,2.962919154395303
14,5517932231085890560,-44.58268583622579,-344.4672749040948,-51.91957890764832,10.048468,0.2040559999999995,1.7358742608824218,2.856210927089383
15,5517669619605333760,-40.569651378938616,-340.5197812610659,-51.706798142378304,10.2642145,0.4867849999999993,1.6510339246465742,2.893144728967071
16,5519220618196495616,-42.16284138455612,-334.16902201681006,-44.93571140891163,10.279725,0.5653500000000005,1.3210600018501282,2.953190416679818
17,5517669619605334400,-40.383993735795016,-339.1560104055375,-51.51984596680029,10.324606,0.557799000000001,1.6285612815972157,2.9050339294030096
18,5516144734418758656,-38.15006844704594,-346.1517695663351,-48.84072577706618,10.503761,0.4649605000000001,1.5649383621307815,2.8534437309424963
19,5519247861164161920,-42.50166930362258,-331.40816170495293,-45.30121309906201,10.537487,0.6615279999999988,1.5534480346062824,2.9765920562992085
20,5519286275351605120,-43.85878626163873,-333.2862044335317,-44.72058624031614,10.718502,0.5515369999999997,1.4942474361100746,2.9592758654513456
21,5516187306135369728,-39.386815349771965,-340.37393801011774,-44.30990664179095,10.751541,0.6893639999999994,1.4838738288427824,2.9054658662951702
22,5519289715632583808,-43.71164988289854,-328.98324872934074,-44.23114012641331,10.76626,0.7804079999999995,1.2168763875961304,2.9983803552535693
23,5517655497752965120,-44.78022719994931,-384.2010597562533,-58.3349343726784,10.892776,0.6251685000000009,1.4409473169463043,2.570680846830012
24,5519215288138413312,-41.19837227265605,-333.3669527329436,-45.45592846181215,10.917116,0.7625609999999998,1.4337744556529757,2.9654586473441187
25,5519164951121760512,-45.16796533749744,-382.507790996395,-54.7594487657028,10.968917,0.5852720000000016,1.4187215901910868,2.588156703437365
26,5517682367068178560,-42.46372650276329,-348.1097475031487,-50.73294809310781,11.146758,0.7578779999999998,1.369157219805679,2.844976916707585
