,source_id,x,y,z,phot_g_mean_mag,bp_rp,new_mass,parallax
160,5254074346931581184,122.63714904144751,-374.918891642148,-13.488488006331975,17.090685,3.036813999999998,0.5549368560314178,2.5730189172047817
161,5254075691311634944,124.25302890515464,-379.2701896198489,-13.443179773502152,17.104439,2.589067000000002,0.5824925933317995,2.537930971492746
162,5254029129511715840,122.36586611502386,-370.4997695076442,-15.296946940425528,17.108727,2.507327000000002,0.5822003354096399,2.594600686152428
163,5254170627254088448,130.08258762523843,-398.83993665757583,-13.183351741371894,17.22407,2.4741570000000017,0.5744108465473354,2.4402337415473925
164,5242139324349710592,123.56081103254732,-368.0527952669229,-12.581979164439616,17.227503,2.666312999999999,0.5741810937640174,2.6097522210095967
165,5254119225079680384,123.00925335373704,-382.7135527709205,-14.595014479411788,17.233467,2.644337,0.5737822362726104,2.5195968536739737
166,5254096886920659712,124.26436224204998,-389.4775637728812,-16.2536121715855,17.250637,2.553028000000001,0.5726359397482647,2.476135918591162
167,5253715837421517568,120.20793997852356,-375.846153510682,-18.51979444632036,17.292696,2.693851000000002,0.5698403784858019,2.5660963067028204
168,5254171795485212544,120.04931743414326,-369.3753697873738,-12.008639779486884,17.292881,3.1033279999999994,0.4729716628789902,2.612134404143371
169,5254307821353763328,122.54838932191416,-396.656400585618,-15.636772554939483,17.293798,2.5266540000000006,0.5697673651803995,2.46013403103994
170,5254089572646736768,120.01709763732,-373.4930514097018,-16.06422902446883,17.311207,2.627054000000001,0.5686154986355904,2.579244650430811
171,5254321397802221952,115.66813013915518,-378.58881643815056,-14.563087544238613,17.344221,2.6400760000000005,0.5664391834485388,2.5805290063645767
172,5254069403435957248,129.79676811619066,-399.1208002456364,-15.86634881465045,17.367638,2.675117,0.5649018380328079,2.414398978928089
173,5254145441586442752,115.03504457091626,-365.5735299888123,-12.325951926689612,17.371038,2.5800340000000013,0.5646790578811101,2.641087453093775
174,5254074415651088896,130.1204540182659,-398.268051687495,-14.227211275376476,17.380716,2.6231360000000024,0.5640455181041548,2.417915160850731
175,5254172929311601536,125.38997790756964,-384.9755286509346,-11.94920911777453,17.381382,2.74766,0.5640019529614358,2.5029772243511075
176,5242039234444532736,127.70093727469722,-380.5198690485871,-14.881061362442525,17.397705,2.6597040000000014,0.562935515536552,2.5248263356438945
177,5254177013830168832,126.59966211669862,-390.74712451218767,-11.874779147881412,17.39916,2.6753979999999977,0.5628405764381954,2.484865545033718
178,5254036418126339968,120.10931589849082,-368.0698901519755,-16.63562095617769,17.406872,3.0086360000000028,0.419758141040802,2.6181385363867173
179,5254172169104640256,124.3134344259131,-382.4743977331991,-12.291377520712928,17.440985,2.7713890000000028,0.5601198805058399,2.519165841340274
180,5241995666291309568,131.0919976780682,-384.7115905096976,-17.288533307057406,17.447609,2.689064000000002,0.5596904699576224,2.493299680750419
181,5254065074151405952,124.3353896221568,-379.3307741877765,-15.29849288085839,17.448902,2.794266999999998,0.5596066961088834,2.539021180861943
182,5254058026052028928,127.3777059791411,-384.840094783284,-14.091279876846528,17.471924,2.7445850000000007,0.5581176403141981,2.500274965599952
183,5254057785540008576,133.19284380239077,-401.9959114684235,-14.63199705555499,17.475866,2.72476,0.5578631544555048,2.394361627172121
184,5254121935167316096,129.29845637245347,-403.7307649074135,-15.645714475653731,17.513374,2.825527000000001,0.5554487050426536,2.392016306055577
185,5254198660460651776,120.9326456954357,-368.6823034143465,-8.303435039229186,17.53922,2.7074989999999985,0.5537922300663496,2.609526768812272
186,5254127570169296128,125.75970239225128,-392.1671961544107,-13.78778509313682,17.54663,2.710059000000001,0.5533184048000325,2.458560077606468
187,5254164751738352640,133.65935890253544,-404.53557102701313,-11.78809740410412,17.564995,2.853327,0.5521461370119088,2.380928133154595
188,5254237628748056320,121.34548721583108,-383.4722100941676,-10.57192602057566,17.572794,2.80246,0.5516491995854437,2.485383651655068
189,5254077370588736640,127.80112026469904,-391.958256722704,-13.261863077127911,17.583097,2.918785,0.5509935169001409,2.460385207421124
190,5254066792096689024,134.26270300559682,-411.4895335495802,-15.910663551079011,17.5854,2.713137,0.5508470789335062,2.3413304296691377
191,5254137912447917184,118.74659920789476,-374.8226903108759,-13.266965447360292,17.605536,2.5134010000000018,0.5495686507523413,2.5418988777422347
192,5254148598327570944,124.5792931116854,-397.289580682448,-13.518478512206684,17.608013,2.605255,0.5494116257151278,2.4004794954126485
193,5254079092925549824,124.9385657881142,-386.066652380874,-13.898513470340449,17.622633,2.7734929999999984,0.5484858767868226,2.4952345499915003
194,5254045450393635712,117.9795469858353,-361.7369995443372,-14.81606299264709,17.633083,2.2710089999999994,0.5478252817842867,2.626197970999709
195,5254027518901050624,131.39744557397347,-396.60663359457794,-16.901213764416582,17.65298,2.7783359999999995,0.5465700293208283,2.391497667623955
196,5254181789828912640,126.50228523598524,-388.19682666101454,-10.56120189176562,17.686428,3.130213000000001,0.4033439010381698,2.448428749813953
197,5254172482680070528,124.90265112119,-382.07151149915865,-12.036694022848708,17.699722,2.8760450000000013,0.5436341081024351,2.519546633452128
198,5254160555510500224,121.84818292238558,-371.7664704094623,-11.732979885696151,17.703993,2.923397000000002,0.543366735231832,2.589253752915994
199,5254223846151178240,117.4015769892208,-365.6072560729618,-11.448133108702848,17.708464,2.7533379999999994,0.5430870009639407,2.6030472125564232
200,5254040227710950400,125.15488196518145,-382.4382563915679,-16.456757548027383,17.720196,2.9624330000000008,0.5423537430898725,2.5183078088289683
201,5254123794948909568,135.2909939018959,-424.8634086780378,-15.956384275235024,17.731497,2.739722999999998,0.5416484741289461,2.2945929388195045
202,5242003358525216896,130.39946552116692,-386.5109518225437,-18.41995803877819,17.73654,2.895889999999998,0.5413340837204825,2.4852328655583844
203,5242148292242896512,134.07613480869762,-397.89142731009656,-12.07832775875596,17.74299,3.297163000000001,0.4925347566604614,2.4197082611789016
204,5242035622322474112,133.39124465774236,-395.0164034262848,-15.71568820776426,17.750868,2.660812999999997,0.5404419591948918,2.4296142157900253
205,5254171241391480960,124.77708545369708,-382.4128828639659,-12.193255080613936,17.76132,2.872713000000001,0.5397922034104935,2.517120100640497
206,5254125749100461312,134.2728418869561,-421.24161154267296,-15.097344360319395,17.765018,2.8133509999999973,0.5395625222592632,2.2923400316573166
